# -*- encoding: utf-8 -*-
#
# Ranges to be excluded from CM21 data
#
# Natsis Athanasios <natsisthanasis@gmail.com>
# 2021-12-23
#
# Dates in UTC
# The from date is excluded, the until date is kept
# (start <= time < end)
# Start: 2006-01-01
#

## all day ranges
From;                Until;               Comment
2017-04-24 08:37;    2017-04-24 08:38;    shades from cleaning
2017-04-25 11:40;    2017-04-25 11:41;    shades from cleaning
2017-04-27 11:02;    2017-04-27 11:03;    shades from cleaning
2017-05-02 07:19;    2017-05-02 07:21;    shades from cleaning
2017-05-04 08:40;    2017-05-04 08:41;    shades from cleaning
2017-05-07 09:22;    2017-05-07 09:23;    shades from cleaning
2017-05-08 09:03;    2017-05-08 09:04;    shades from cleaning
2017-05-09 14:08;    2017-05-09 14:09;    shades from cleaning
2017-05-14 08:32;    2017-05-14 08:34;    shades from cleaning
2017-05-24 12:18;    2017-05-24 12:19;    shades from cleaning
2017-05-25 09:48;    2017-05-25 10:14;    disconnection
2017-05-30 07:21;    2017-05-30 07:22;    shades from cleaning
2017-05-30 11:02;    2017-05-30 11:05;    disconnection
2017-05-30 13:02;    2017-05-30 13:05;    disconnection
2017-05-30 15:02;    2017-05-30 15:05;    disconnection
2017-05-31 08:51;    2017-05-31 08:53;    shades from cleaning
2017-06-01 13:22;    2017-06-01 13:23;    shades from cleaning
2017-06-06 07:32;    2017-06-06 07:33;    shades from cleaning
2017-06-08 08:12;    2017-06-08 08:13;    shades from cleaning
2017-06-09 06:30;    2017-06-09 06:32;    shades from cleaning
2017-06-12 07:15;    2017-06-12 07:16;    shades from cleaning
2017-06-14 13:25;    2017-06-14 13:26;    shades from cleaning
2017-06-21 11:08;    2017-06-21 11:09;    shades from cleaning
2017-06-22 08:55;    2017-06-22 08:56;    shades from cleaning
2017-06-22 10:06;    2017-06-22 10:09;    disconnection
2017-06-23 14:32;    2017-06-23 14:33;    shades from cleaning
2017-06-26 06:54;    2017-06-26 06:56;    shades from cleaning
2017-06-28 06:45;    2017-06-28 06:46;    shades from cleaning
2017-06-29 06:53;    2017-06-29 06:54;    shades from cleaning
2017-06-30 05:53;    2017-06-30 05:54;    shades from cleaning
2017-07-03 06:45;    2017-07-03 06:46;    shades from cleaning
2017-07-04 06:43;    2017-07-04 06:44;    shades from cleaning
2017-07-06 07:06;    2017-07-06 07:07;    shades from cleaning
2017-07-07 07:22;    2017-07-07 07:24;    shades from cleaning
2017-07-10 07:03;    2017-07-10 07:04;    shades from cleaning
2017-07-11 06:45;    2017-07-11 06:46;    shades from cleaning
2017-07-12 05:46;    2017-07-12 05:47;    shades from cleaning
2017-07-18 09:25;    2017-07-18 09:26;    shades from cleaning
2017-07-26 09:47;    2017-07-26 09:48;    shades from cleaning
2017-08-01 11:59;    2017-08-01 12:00;    shades from cleaning
2017-08-02 08:59;    2017-08-02 09:00;    shades from cleaning
2017-08-07 07:05;    2017-08-07 07:06;    shades from cleaning
2017-08-08 07:02;    2017-08-08 07:04;    shades from cleaning
2017-08-09 06:54;    2017-08-09 06:55;    shades from cleaning
2017-08-10 06:50;    2017-08-10 06:51;    shades from cleaning
2017-08-14 10:01;    2017-08-14 10:02;    shades from cleaning
2017-08-15 09:14;    2017-08-15 09:16;    disconnection
2017-08-16 00:00;    2017-08-17 06:52;    undefined problem erratic data observed
2017-08-16 00:00;    2017-08-16 23:59;    irradical data
2017-08-22 07:34;    2017-08-22 07:35;    shades from cleaning
2017-08-23 07:28;    2017-08-23 07:29;    shades from cleaning
2017-08-24 07:38;    2017-08-24 07:39;    shades from cleaning
2017-08-25 13:11;    2017-08-25 13:12;    shades from cleaning
2017-08-28 06:57;    2017-08-28 06:58;    shades from cleaning
2017-08-30 12:26;    2017-08-30 12:27;    shades from cleaning
2017-08-30 14:14;    2017-08-30 23:59;    disconnection
2017-09-01 00:00;    2017-09-01 07:38;    disconnection
2017-09-06 06:06;    2017-09-06 06:07;    shades from cleaning
2017-09-08 07:33;    2017-09-08 07:34;    shades from cleaning
2017-09-11 07:03;    2017-09-11 07:04;    shades from cleaning
2017-09-12 06:47;    2017-09-12 06:48;    shades from cleaning
2017-09-13 06:37;    2017-09-13 06:39;    shades from cleaning
2017-09-14 06:28;    2017-09-14 06:29;    shades from cleaning
2017-09-18 07:30;    2017-09-18 07:31;    shades from cleaning
2017-09-19 06:47;    2017-09-19 06:48;    shades from cleaning
2017-09-20 06:59;    2017-09-20 07:01;    shades from cleaning
2017-09-21 06:54;    2017-09-21 06:55;    shades from cleaning
2017-09-26 06:54;    2017-09-26 06:55;    shades from cleaning
2017-10-05 07:22;    2017-10-05 07:23;    shades from cleaning
2017-10-09 06:54;    2017-10-09 06:55;    shades from cleaning
2017-10-10 07:09;    2017-10-10 07:10;    shades from cleaning
2017-10-30 05:56;    2017-10-30 07:18;    disconnection, undefined problem erratic data observed
2017-10-31 09:48;    2017-10-31 10:02;    disconnection
2017-11-07 07:35;    2017-11-07 09:15;    erratic data observed
2017-11-07 09:15;    2017-11-07 12:45;    power out
2017-11-08 00:00;    2017-11-08 23:59;    undefined problem erratic data observed
2017-11-08 00:00;    2017-11-08 23:59;    irradical data
2017-11-10 00:00;    2017-11-10 08:37;    disconnection
2017-11-21 08:01;    2017-11-21 08:02;    shades from cleaning
2017-11-23 07:28;    2017-11-23 07:29;    shades from cleaning
2017-12-06 08:19;    2017-12-06 08:20;    shades from cleaning
2017-12-07 08:29;    2017-12-07 08:30;    shades from cleaning
2017-12-11 08:19;    2017-12-11 08:20;    shades from cleaning
2017-12-15 07:36;    2017-12-15 07:57;    disconnection, undefined problem erratic data observed
2017-12-20 08:28;    2017-12-20 08:29;    shades from cleaning
2018-01-04 08:39;    2018-01-04 09:29;    disconnection, undefined problem erratic data observed
2018-01-18 02:23;    2018-01-18 03:20;    undefined problem erratic data observed
2018-01-18 08:09;    2018-01-18 08:33;    disconnection, no power
2018-01-24 07:56;    2018-01-24 07:57;    shades from cleaning
2018-01-25 07:29;    2018-01-25 07:30;    shades from cleaning
2018-01-30 08:52;    2018-01-30 08:53;    shades from cleaning
2018-02-01 13:27;    2018-02-01 13:28;    shades from cleaning
2018-02-05 07:43;    2018-02-05 07:44;    shades from cleaning
2018-02-14 14:02;    2018-02-14 14:03;    shades from cleaning
2018-02-28 08:13;    2018-02-28 08:15;    shades from cleaning
2018-03-07 08:09;    2018-03-07 08:10;    shades from cleaning
2018-03-13 07:15;    2018-03-13 07:17;    shades from cleaning
2018-03-15 08:18;    2018-03-15 08:19;    shades from cleaning
2018-03-20 08:03;    2018-03-20 08:04;    shades from cleaning
2018-03-29 07:16;    2018-03-29 07:17;    shades from cleaning
2018-04-03 07:23;    2018-04-03 07:25;    shades from cleaning
2018-04-12 06:35;    2018-04-12 06:37;    shades from cleaning
2018-04-17 06:36;    2018-04-17 06:37;    shades from cleaning
2018-04-17 06:47;    2018-04-17 06:48;    shades from cleaning
2018-04-18 07:23;    2018-04-18 07:24;    shades from cleaning
2018-04-19 07:37;    2018-04-19 07:38;    shades from cleaning
2018-04-20 06:59;    2018-04-20 07:00;    shades from cleaning
2018-04-23 07:05;    2018-04-23 07:06;    shades from cleaning
2018-04-27 07:15;    2018-04-27 07:16;    shades from cleaning
2018-05-02 06:48;    2018-05-02 07:01;    disconnection
2018-05-14 07:18;    2018-05-14 07:20;    shades from cleaning
2018-05-17 07:00;    2018-05-17 07:02;    shades from cleaning
2018-05-22 07:10;    2018-05-22 07:11;    shades from cleaning
2018-05-25 07:22;    2018-05-25 07:23;    shades from cleaning
2018-05-30 07:09;    2018-05-30 07:10;    shades from cleaning?
2018-05-31 07:33;    2018-05-31 07:34;    shades from cleaning
2018-06-01 07:06;    2018-06-01 07:07;    shades from cleaning
2018-06-08 08:05;    2018-06-08 08:06;    shades from cleaning
2018-06-11 07:00;    2018-06-11 07:01;    shades from cleaning
2018-06-21 07:18;    2018-06-21 07:19;    shades from cleaning
2018-07-02 07:07;    2018-07-02 07:08;    shades from cleaning
2018-07-03 07:03;    2018-07-03 07:04;    shades from cleaning
2018-07-05 07:39;    2018-07-05 07:40;    shades from cleaning
2018-07-09 07:16;    2018-07-09 07:17;    shades from cleaning
2018-07-11 07:47;    2018-07-11 07:49;    shades from cleaning
2018-07-16 07:03;    2018-07-16 07:04;    shades from cleaning
2018-07-17 07:04;    2018-07-17 07:05;    shades from cleaning
2018-07-23 08:19;    2018-07-23 08:20;    shades from cleaning
2018-08-13 06:30;    2018-08-13 06:31;    shades from cleaning
2018-08-23 06:59;    2018-08-23 07:00;    shades from cleaning
2018-08-29 07:49;    2018-08-29 07:50;    shades from cleaning
2018-09-06 07:22;    2018-09-06 07:23;    shades from cleaning
2018-09-12 07:36;    2018-09-12 07:37;    shades from cleaning
2018-09-13 08:29;    2018-09-13 08:30;    shades from cleaning
2018-09-19 07:20;    2018-09-19 07:21;    shades from cleaning
2018-09-20 07:06;    2018-09-20 07:07;    shades from cleaning
2018-09-27 07:27;    2018-09-27 07:28;    shades from cleaning
2018-10-02 07:00;    2018-10-02 07:02;    shades from cleaning
2018-10-08 08:25;    2018-10-08 08:26;    shades from cleaning
2018-10-19 08:41;    2018-10-19 08:42;    shades from cleaning
2018-10-24 07:38;    2018-10-24 07:39;    shades from cleaning
2018-10-25 06:14;    2018-10-25 06:15;    shades from cleaning
2018-11-12 08:40;    2018-11-12 08:41;    shades from cleaning
2018-12-07 12:56;    2018-12-07 23:59;    undefined problem erratic data observed
2018-12-12 08:58;    2018-12-12 08:59;    shades from cleaning
2018-12-19 08:28;    2018-12-19 08:29;    shades from cleaning
2018-12-28 08:44;    2018-12-28 08:45;    shades from cleaning
2019-01-02 13:20;    2019-01-02 13:25;    disconnection
2019-01-14 08:27;    2019-01-14 08:28;    shades from cleaning
2019-01-16 08:32;    2019-01-16 08:33;    shades from cleaning
2019-01-28 06:00;    2019-01-28 07:00;    disconnection
2019-02-01 07:55;    2019-02-01 07:56;    shades from cleaning
2019-02-14 08:27;    2019-02-14 08:28;    shades from cleaning
2019-02-18 08:02;    2019-02-18 08:03;    shades from cleaning
2019-02-20 08:30;    2019-02-20 08:31;    shades from cleaning
2019-03-04 08:16;    2019-03-04 08:17;    shades from cleaning
2019-03-06 08:47;    2019-03-06 08:48;    shades from cleaning
2019-04-04 07:32;    2019-04-04 07:33;    shades from cleaning
2019-04-11 06:28;    2019-04-11 06:29;    shades from cleaning
2019-04-17 07:51;    2019-04-17 07:52;    shades from cleaning
2019-04-22 07:17;    2019-04-22 07:18;    shades from cleaning
2019-05-04 00:00;    2019-05-04 11:04;    radmon out
2019-05-06 07:56;    2019-05-06 07:58;    shades from cleaning
2019-05-08 07:40;    2019-05-08 07:41;    shades from cleaning
2019-05-13 10:34;    2019-05-13 10:35;    unknown extreme signal
2019-05-21 07:24;    2019-05-21 07:25;    shades from cleaning
2019-05-30 07:15;    2019-05-30 07:16;    shades from cleaning
2019-06-03 08:30;    2019-06-03 08:31;    shades from cleaning
2019-06-07 07:30;    2019-06-07 07:31;    shades from cleaning
2019-06-20 07:25;    2019-06-20 07:26;    shades from cleaning
2019-06-27 05:34;    2019-06-27 05:35;    shades from cleaning
2019-07-12 07:28;    2019-07-12 07:29;    shades from cleaning
2019-07-26 06:01;    2019-07-26 06:02;    shades from cleaning
2019-07-29 07:38;    2019-07-29 07:39;    shades from cleaning?
2019-10-17 07:30;    2019-10-17 07:31;    shades from cleaning?
2019-11-05 07:56;    2019-11-05 07:59;    shades from cleaning?
2019-11-25 07:22;    2019-11-25 13:29;    disconnection
2019-11-27 08:31;    2019-11-27 08:32;    shades from cleaning?
2020-03-25 00:00;    2020-03-27 12:21;    No Data
2021-01-19 08:50;    2021-01-19 08:53;    shades from cleaning
2021-02-26 07:55;    2021-02-26 07:58;    shades from cleaning
2021-05-10 05:58;    2021-05-10 06:01;    shades from cleaning
2021-05-10 06:32;    2021-05-10 06:33;    shades from cleaning
2021-05-28 06:13;    2021-05-28 06:15;    shades from cleaning
2021-06-01 06:10;    2021-06-01 06:11;    shades from cleaning
2021-06-02 06:12;    2021-06-02 06:14;    shades from cleaning
2021-06-04 06:31;    2021-06-04 06:32;    shades from cleaning
2021-06-17 06:27;    2021-06-17 06:29;    shades from cleaning
2021-06-22 06:48;    2021-06-22 06:49;    shades from cleaning
2021-06-24 06:30;    2021-06-24 06:32;    shades from cleaning
2021-06-28 06:14;    2021-06-28 06:16;    shades from cleaning
2021-06-30 06:44;    2021-06-30 06:47;    shades from cleaning
2021-07-07 06:31;    2021-07-07 06:33;    shades from cleaning
2021-07-09 06:16;    2021-07-09 06:17;    shades from cleaning
2021-07-13 06:39;    2021-07-13 06:41;    shades from cleaning
2021-07-15 11:08;    2021-07-15 11:09;    shades from cleaning
2021-07-21 00:00;    2021-07-21 08:03;    disconnection
2021-07-26 06:19;    2021-07-26 06:21;    shades from cleaning
2021-07-28 06:12;    2021-07-28 06:13;    shades from cleaning
2021-07-30 06:38;    2021-07-30 06:39;    shades from cleaning
2021-08-12 08:56;    2021-08-12 08:57;    shades from cleaning
2021-08-23 07:02;    2021-08-23 07:03;    shades from cleaning
2021-08-27 07:08;    2021-08-27 07:09;    shades from cleaning
2021-08-30 06:54;    2021-08-30 06:55;    shades from cleaning
2021-09-01 07:13;    2021-09-01 07:14;    shades from cleaning
2021-09-16 07:10;    2021-09-16 07:11;    shades from cleaning
2021-09-20 06:58;    2021-09-20 06:59;    shades from cleaning
2021-09-23 07:05;    2021-09-23 07:06;    shades from cleaning
2021-09-27 08:56;    2021-09-27 10:45;    disconnection
2021-10-05 06:47;    2021-10-05 06:48;    shades from cleaning
2021-10-13 06:42;    2021-10-13 06:44;    shades from cleaning
2021-10-22 07:04;    2021-10-22 07:06;    shades from cleaning
2021-11-01 07:20;    2021-11-01 07:22;    shades from cleaning
2021-12-01 06:31;    2021-12-01 06:32;    shades from cleaning

2022-01-20 07:25;    2022-01-20 07:27;    shades from cleaning
2022-01-31 07:41;    2022-01-31 07:45;    shades from cleaning

2022-02-16 10:58;    2022-02-16 10:59;    shades from cleaning
2022-02-17 07:28;    2022-02-17 11:19;    disconnection
2022-02-22 05:00;    2022-02-24 09:02;    signal error
2022-02-28 09:13;    2022-02-28 10:00;    undefined problem erratic data observed

## GLOBAL ##
# TODO after 2022-01-01
# chp1 with temperature  from start
# check comments in maintenance log
# change last date on QCRad

# the period after 2019-05-30 may be reviewed as logs are incomplete
# After 2020-01-01 no log was used may reviewed

## END
